Learning rate,Epochs,Horizon,Step,problem
0.1,1000,20,20,2
0.1,1000,200,200,2
0.1,1000,2000,2000,2
0.1,1000,20000,20000,2
0.1,1000,100000,100000,2
0.1,10000,20,20,2
0.1,10000,200,200,2
0.1,10000,2000,2000,2
0.1,10000,20000,20000,2
0.1,10000,100000,100000,2
0.1,100000,20,20,2
0.1,100000,200,200,2
0.1,100000,2000,2000,2
0.1,100000,20000,20000,2
0.1,100000,100000,100000,2
100000000.0,1000,20,4,2
100000000.0,1000,200,3,2
100000000.0,1000,2000,4,2
100000000.0,1000,20000,5,2
100000000.0,1000,100000,4,2
100000000.0,10000,20,4,2
100000000.0,10000,200,3,2
100000000.0,10000,2000,4,2
100000000.0,10000,20000,5,2
100000000.0,10000,100000,4,2
100000000.0,100000,20,4,2
100000000.0,100000,200,3,2
100000000.0,100000,2000,4,2
100000000.0,100000,20000,5,2
100000000.0,100000,100000,4,2
